2026-02-22T14:51:25.701513+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:31.544082+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:31.635217+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:31.717765+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:36.830028+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:36.908770+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:43.997187+00:00 | 127.0.0.1 | /admin/library/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:48.270658+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:48.347239+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:01.519478+00:00 | 127.0.0.1 | /admin/library/author/4/change/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:01.612755+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:04.849108+00:00 | 127.0.0.1 | /admin/library/author/4/delete/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:06.633349+00:00 | 127.0.0.1 | /admin/library/author/4/delete/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:54:06.706025+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
